,WMT,COST,TGT
2025-11-21,-0.0007039631271809071,0.0007821799170966469,0.0019701414215442807
2025-11-24,0.0007416137835122034,0.0007443072436306408,0.00011125234199075246
2025-11-25,0.0007450313168886509,0.0007479265373933274,0.00017485176934266023
2025-11-26,0.0007429206808320336,0.0007478254044865228,0.00017382454021526566
2025-11-27,0.0007430322279794149,0.0007478245079032431,0.0001737947314784144
2025-11-28,0.0007430289547474896,0.0007478247481644782,0.0001737978239530153
2025-12-01,0.0007430289816049867,0.0007478247343209488,0.00017379769139222532
2025-12-02,0.0007430289847301281,0.0007478247348158343,0.00017379769455699005
2025-12-03,0.0007430289845135081,0.0007478247348056748,0.00017379769456329965
2025-12-04,0.0007430289845214801,0.0007478247348056057,0.00017379769455852035
2025-12-05,0.0007430289845213287,0.0007478247348056223,0.0001737976945587821
2025-12-08,0.0007430289845213262,0.0007478247348056215,0.00017379769455877397
2025-12-09,0.0007430289845213266,0.0007478247348056215,0.00017379769455877405
2025-12-10,0.0007430289845213265,0.0007478247348056215,0.00017379769455877408
2025-12-11,0.0007430289845213265,0.0007478247348056215,0.00017379769455877405
2025-12-12,0.0007430289845213265,0.0007478247348056215,0.00017379769455877405
2025-12-15,0.0007430289845213265,0.0007478247348056215,0.00017379769455877405
2025-12-16,0.0007430289845213265,0.0007478247348056215,0.00017379769455877405
2025-12-17,0.0007430289845213265,0.0007478247348056215,0.00017379769455877405
2025-12-18,0.0007430289845213265,0.0007478247348056215,0.00017379769455877405
