,WMT,COST,TGT
2025-11-21,106.98247051335764,894.0526214412437,83.63932013350421
2025-11-24,107.07244556310795,894.784533073283,83.6597998809842
2025-11-25,107.1509794196091,895.5173957283392,83.68169021903525
2025-11-26,107.2299765789904,896.2507627768545,83.70343110101129
2025-11-27,107.3090222687358,896.9847391730704,83.7251851988314
2025-11-28,107.38812629493165,897.7193161357293,83.74694468472858
2025-12-01,107.46728864217057,898.4544946967752,83.7687098324854
2025-12-02,107.54650934417766,899.1902753243035,83.79048063674634
2025-12-03,107.62578844463131,899.9266585122956,83.81225709905814
2025-12-04,107.7051259865509,900.663644754184,83.83403922089516
2025-12-05,107.7845220130182,901.4012345438344,83.85582700372792
2025-12-08,107.86397656714574,902.1394283755164,83.87762044902769
2025-12-09,107.94348969207782,902.8782267439045,83.89941955826608
2025-12-10,108.02306143099057,903.6176301440781,83.9212243329151
2025-12-11,108.10269182709192,904.3576390715222,83.94303477444717
2025-12-12,108.18238092362166,905.0982540221273,83.96485088433505
2025-12-15,108.26212876385149,905.8394754921904,83.98667266405191
2025-12-16,108.34193539108496,906.5813039784148,84.00850011507129
2025-12-17,108.42180084865755,907.3237399779103,84.0303332388671
2025-12-18,108.50172517993671,908.0667839881943,84.05217203691366
